task_id,asset_id,asset_type,department,corridor_id,section_id,maintenance_type,defect_description,last_maintenance_date,maintenance_interval_days,next_due_date,overdue_days,condition_score,asset_age_years,failure_count_12m,safety_criticality,operational_criticality,estimated_duration_minutes,duration_buffer_minutes,required_team,required_block_type,required_resources,status
T0001,TRD_036,OHE,TRD,CORR_01,SEC_A_B,Preventive,Operational reliability issue,2024-08-21,60,2024-10-20,693,2.53,2.0,8,8,10,420,30,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Pending
T0002,ENG_001,Points,Engineering,CORR_01,SEC_E_F,Inspection,Condition deterioration detected,2025-06-05,90,2025-09-03,375,4.88,13.9,1,6,8,45,10,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TOOLS_01,Pending
T0003,S&T_080,Signal,S&T,CORR_01,SEC_E_F,Inspection,Inspection overdue,2025-07-18,90,2025-10-16,332,7.43,30.5,0,6,7,45,15,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
T0004,TRD_078,Mast,TRD,CORR_01,SEC_B_C,Corrective,Safety-related defect,2023-08-05,90,2023-11-03,1045,3.64,8.8,3,7,6,120,10,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Deferred
T0005,ENG_059,Points,Engineering,CORR_01,SEC_G_H,Preventive,Repeated minor failure,2024-08-23,60,2024-10-22,691,2.18,14.6,6,10,10,420,60,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Deferred
T0006,TRD_077,Contact Wire,TRD,CORR_01,SEC_G_H,Preventive,Condition deterioration detected,2025-11-07,60,2026-01-06,250,6.2,4.8,4,3,4,90,20,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_02,Pending
T0007,TRD_020,Mast,TRD,CORR_01,SEC_D_E,Preventive,Condition deterioration detected,2025-02-19,60,2027-01-04,0,8.93,32.6,4,8,10,30,10,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Pending
T0008,TRD_061,Contact Wire,TRD,CORR_01,SEC_C_D,Inspection,Condition deterioration detected,2025-07-04,120,2025-11-01,316,8.61,34.8,3,6,6,90,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Pending
T0009,S&T_076,Signal,S&T,CORR_01,SEC_D_E,Preventive,Operational reliability issue,2026-02-19,60,2026-04-20,146,0.68,9.1,4,8,9,240,60,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
T0010,ENG_056,Track,Engineering,CORR_01,SEC_B_C,Preventive,Inspection overdue,2024-06-24,180,2024-12-21,631,7.21,9.5,0,3,9,120,10,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TRACK_TEAM_A,Pending
T0011,ENG_007,Points,Engineering,CORR_01,SEC_B_C,Corrective,Component replacement required,2025-08-30,30,2026-09-14,0,9.28,8.3,1,5,9,180,30,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Deferred
T0012,S&T_020,Telecom,S&T,CORR_01,SEC_H_I,Preventive,Condition deterioration detected,2026-03-26,180,2026-11-18,0,6.55,20.9,4,3,8,30,10,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,Pending
T0013,TRD_016,Contact Wire,TRD,CORR_01,SEC_G_H,Inspection,Component replacement required,2025-03-05,60,2025-05-04,497,6.66,7.9,4,4,9,120,20,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Pending
T0014,S&T_059,Signal,S&T,CORR_01,SEC_A_B,Corrective,Routine preventive maintenance,2025-06-26,90,2026-12-29,0,3.01,30.9,1,7,5,120,10,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,In Progress
T0015,TRD_018,Mast,TRD,CORR_01,SEC_B_C,Preventive,Repeated minor failure,2024-10-27,30,2026-11-07,0,3.59,18.2,2,6,8,75,20,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Pending
T0016,TRD_057,Mast,TRD,CORR_01,SEC_C_D,Corrective,Inspection overdue,2025-02-21,90,2025-05-22,479,3.28,5.3,1,3,8,60,30,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Pending
T0017,TRD_072,OHE,TRD,CORR_01,SEC_F_G,Inspection,Condition deterioration detected,2025-04-11,120,2025-08-09,400,7.75,7.1,1,5,5,150,10,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Pending
T0018,S&T_029,Signal,S&T,CORR_01,SEC_H_I,Preventive,Safety-related defect,2023-10-21,90,2024-01-19,968,4.64,12.2,1,6,3,75,30,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,In Progress
T0019,ENG_023,Track,Engineering,CORR_01,SEC_E_F,Corrective,Inspection overdue,2024-06-24,90,2026-11-08,0,3.26,14.1,3,8,8,150,10,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TOOLS_01,Deferred
T0020,S&T_043,Telecom,S&T,CORR_01,SEC_B_C,Corrective,Repeated minor failure,2026-07-10,60,2026-12-08,0,7.54,24.7,2,7,9,120,30,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,Pending
T0021,TRD_071,Mast,TRD,CORR_01,SEC_G_H,Inspection,Safety-related defect,2026-04-12,120,2026-08-10,34,5.51,24.0,4,8,10,180,30,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Pending
T0022,ENG_029,Bridge,Engineering,CORR_01,SEC_E_F,Inspection,Routine preventive maintenance,2024-07-03,365,2025-07-03,437,1.23,31.1,7,10,8,420,45,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Pending
T0023,ENG_023,Points,Engineering,CORR_01,SEC_D_E,Inspection,Operational reliability issue,2026-07-19,180,2027-01-15,0,2.85,23.7,1,4,10,60,30,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TOOLS_01,Pending
T0024,TRD_061,Electrical Equipment,TRD,CORR_01,SEC_C_D,Corrective,Repeated minor failure,2025-01-06,60,2025-03-07,555,4.44,3.6,4,10,6,90,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_02,Pending
T0025,ENG_028,Points,Engineering,CORR_01,SEC_C_D,Preventive,Operational reliability issue,2025-07-19,120,2026-10-29,0,5.76,30.1,0,6,9,150,10,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Deferred
T0026,TRD_029,Contact Wire,TRD,CORR_01,SEC_H_I,Preventive,Repeated minor failure,2026-07-30,365,2026-12-05,0,4.85,31.8,3,5,10,60,10,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Deferred
T0027,ENG_042,Drainage,Engineering,CORR_01,SEC_G_H,Preventive,Inspection overdue,2023-09-15,90,2026-09-22,0,4.45,26.5,3,7,4,180,10,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Deferred
T0028,ENG_017,Bridge,Engineering,CORR_01,SEC_D_E,Corrective,Abnormal wear detected,2024-01-21,60,2024-03-21,906,1.15,21.6,9,9,9,300,60,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TOOLS_01,Pending
T0029,TRD_026,Electrical Equipment,TRD,CORR_01,SEC_G_H,Preventive,Condition deterioration detected,2023-10-20,180,2024-04-17,879,4.2,23.5,2,4,3,120,30,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Pending
T0030,S&T_020,Relay,S&T,CORR_01,SEC_H_I,Preventive,Operational reliability issue,2024-10-15,30,2024-11-14,668,4.39,12.0,4,10,10,150,20,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
T0031,S&T_042,Signal,S&T,CORR_01,SEC_H_I,Preventive,Component replacement required,2025-09-10,120,2026-01-08,248,4.88,9.2,4,7,3,75,10,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_02,Pending
T0032,S&T_038,Signal,S&T,CORR_01,SEC_B_C,Preventive,Safety-related defect,2025-12-16,90,2026-03-16,181,7.15,13.0,2,10,8,150,20,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,Pending
T0033,ENG_028,Bridge,Engineering,CORR_01,SEC_D_E,Corrective,Routine preventive maintenance,2024-06-02,90,2026-11-21,0,9.34,8.7,4,7,4,75,20,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0034,TRD_063,Mast,TRD,CORR_01,SEC_C_D,Preventive,Routine preventive maintenance,2026-02-03,30,2026-03-05,192,1.91,33.0,7,9,8,240,45,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0035,ENG_011,Bridge,Engineering,CORR_01,SEC_E_F,Emergency,Routine preventive maintenance,2025-11-23,90,2026-02-21,204,1.75,16.3,8,10,8,480,45,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Pending
T0036,TRD_028,OHE,TRD,CORR_01,SEC_D_E,Preventive,Condition deterioration detected,2026-01-18,90,2026-10-20,0,1.02,24.4,4,8,8,420,45,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_02,Deferred
T0037,TRD_076,Contact Wire,TRD,CORR_01,SEC_E_F,Corrective,Abnormal wear detected,2025-02-19,180,2025-08-18,391,3.3,3.0,1,5,7,60,10,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0038,TRD_065,Electrical Equipment,TRD,CORR_01,SEC_E_F,Corrective,Component replacement required,2023-07-13,365,2024-07-12,793,2.78,8.8,3,8,7,30,10,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Pending
T0039,S&T_063,Point Machine,S&T,CORR_01,SEC_G_H,Emergency,Operational reliability issue,2025-08-29,180,2026-09-25,0,4.83,10.8,0,5,8,150,30,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_01,Pending
T0040,TRD_053,OHE,TRD,CORR_01,SEC_H_I,Preventive,Inspection overdue,2025-11-14,365,2026-11-14,0,7.8,32.5,3,3,6,90,15,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Pending
T0041,TRD_071,Contact Wire,TRD,CORR_01,SEC_E_F,Preventive,Inspection overdue,2025-01-18,180,2025-07-17,423,9.45,32.7,0,10,4,60,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,In Progress
T0042,S&T_025,Point Machine,S&T,CORR_01,SEC_G_H,Inspection,Component replacement required,2025-02-01,180,2025-07-31,409,8.55,10.6,2,9,8,90,10,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
T0043,S&T_059,Relay,S&T,CORR_01,SEC_G_H,Inspection,Repeated minor failure,2025-07-20,120,2025-11-17,300,4.17,26.3,3,6,9,30,20,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_01,In Progress
T0044,TRD_057,Mast,TRD,CORR_01,SEC_B_C,Preventive,Component replacement required,2025-08-23,365,2026-10-26,0,7.56,12.5,3,5,4,180,20,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0045,TRD_031,OHE,TRD,CORR_01,SEC_B_C,Corrective,Operational reliability issue,2023-07-30,30,2023-08-29,1111,7.73,24.6,3,4,4,180,15,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Pending
T0046,ENG_073,Bridge,Engineering,CORR_01,SEC_G_H,Corrective,Repeated minor failure,2024-11-02,120,2025-03-02,560,3.05,16.7,3,6,10,60,15,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Deferred
T0047,ENG_076,Points,Engineering,CORR_01,SEC_F_G,Preventive,Operational reliability issue,2025-06-05,180,2025-12-02,285,4.25,9.1,2,6,9,180,10,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TRACK_TEAM_A,In Progress
T0048,S&T_078,Signal,S&T,CORR_01,SEC_A_B,Corrective,Routine preventive maintenance,2024-03-07,365,2026-12-03,0,7.93,24.0,1,8,6,75,20,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_01,Pending
T0049,TRD_012,Mast,TRD,CORR_01,SEC_C_D,Inspection,Condition deterioration detected,2026-02-11,90,2026-05-12,124,3.73,32.1,1,8,7,60,20,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Pending
